Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Temitope Nuga,F,SBD,Raw,39,35-39,24-39,FR-O,75.7,76,180,190,195,,195,107.5,112.5,-115,,112.5,210,225,-232.5,,225,532.5,2,516.11,503.30,442.57,105.18,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Christian Ayandokun,M,SBD,Raw,33,24-34,24-39,MR-O,92.8,93,292.5,308.5,313.5,,313.5,195,202.5,207.5,,207.5,325,340,357.5,,357.5,878.5,1,559.53,552.43,528.78,115.05,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
William Pickering #1,M,SBD,Raw,26.5,24-34,24-39,MR-O,92.4,93,-270,285,300,,300,-172.5,180,185,,185,320,340,355,,355,840,3,536.12,529.31,506.74,110.24,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Marvelous James,M,SBD,Raw,,,,MR-O,116.3,120,280,300,307.5,,307.5,180,190,-192.5,,190,305,330,-340,,330,827.5,8,480.33,479.41,459.08,97.53,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Mani Owugha,M,SBD,Raw,29.5,24-34,24-39,MR-O,119.1,120,240,255,-260,,255,147.5,-152.5,-152.5,,147.5,307.5,325,-337.5,,325,727.5,21,418.86,419.00,401.47,84.85,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Adedapo Ojewale,M,SBD,Raw,26.5,24-34,24-39,MR-O,100.1,105,270,-290,290,,290,170,177.5,182.5,,182.5,320,340,-350,,340,812.5,7,499.89,494.28,472.09,102.59,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Ian Lucy,M,SBD,Raw,23.5,24-34,24-39,MR-O,117.9,120,230,-255,260,,260,137.5,142.5,147.5,,147.5,280,295,-302.5,,295,702.5,28,405.86,405.59,388.55,82.30,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Michael Pierides,M,SBD,Raw,24.5,24-34,24-39,MR-O,104.7,105,275,292.5,-305,,292.5,182.5,190,192.5,,192.5,287.5,302.5,315,,315,800,9,483.03,478.52,456.94,98.90,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Kai Gajewiak,M,SBD,Raw,24,24-34,24-39,MR-O,70.4,74,170,180,190,,190,120,127.5,132.5,,132.5,205,210,-215,,210,532.5,30,398.42,397.32,384.95,80.24,Yes,England,SW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Daniel Jay #1,M,SBD,Raw,28.5,24-34,24-39,MR-O,72.5,74,187.5,200,210,,210,137.5,142.5,147.5,,147.5,250,265,-272.5,,265,622.5,15,456.58,454.42,439.72,92.37,Yes,England,SM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Jac Lewis,M,SBD,Raw,,,,MR-O,73.4,74,235,-247.5,247.5,,247.5,155,162.5,165,,165,257.5,-270,272.5,,272.5,685,6,498.34,495.60,479.31,100.99,Yes,England,NW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Felicity Sadler,F,SBD,Raw,33.5,24-34,24-39,FR-O,54.9,57,105,112.5,-115,,112.5,55,57.5,-60,,57.5,110,120,-125,,120,290,25,340.62,346.56,306.68,70.02,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Hector van Smirren,M,SBD,Raw,27.5,24-34,24-39,MR-O,110.8,120,240,255,270,,270,152.5,162.5,165,,165,295,315,330,,330,765,13,451.86,449.21,429.43,92.14,Yes,England,SM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Abdul Majeed Sulayman,M,SBD,Raw,27,24-34,24-39,MR-O,114,120,310,330,345,,345,-197.5,-202.5,202.5,,202.5,350,377.5,382.5,,382.5,930,2,543.64,541.66,518.32,110.59,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Lily Erskine,F,SBD,Raw,28,24-34,24-39,FR-O,72.9,76,147.5,157.5,-162.5,,157.5,82.5,87.5,90,,90,165,175,182.5,,182.5,430,11,425.22,416.27,366.54,86.52,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Joe Feeney,M,SBD,Raw,26,24-34,24-39,MR-O,104.82,105,265,-285,285,,285,165,172.5,-180,,172.5,255,270,-285,,270,727.5,24,439.06,434.98,415.36,89.89,Yes,England,NM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Dylan Nelson #1,M,SBD,Raw,27.5,24-34,24-39,MR-O,74,74,260,272.5,-277.5,,272.5,152.5,160,165,,165,255,270,-280,,270,707.5,4,511.98,508.91,492.02,103.87,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Elspeth McLeod,F,SBD,Raw,,,,FR-O,60.8,63,155,160,162.5,,162.5,90,92.5,97.5,,97.5,170,180,185,,185,445,4,489.22,491.07,433.81,99.68,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Steven Barber,M,SBD,Raw,,,,MR-O,117.5,120,-257.5,270,-280,,270,175,182.5,187.5,,187.5,255,275,290,,290,747.5,15,432.36,431.93,413.75,87.70,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Joseph Diva,M,SBD,Raw,31.5,24-34,24-39,MR-O,66,66,205,215,222.5,,222.5,150,158,160.5,,160.5,245,257.5,267.5,,267.5,650.5,2,509.68,510.77,496.32,101.40,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Joy Nnamani,F,SBD,Raw,31.5,24-34,24-39,FR-O,56.3,57,165,172.5,177.5,,177.5,92.5,95,97.5,,97.5,207.5,217.5,231,,231,506,1,584.45,592.87,524.36,119.81,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Ben Deller-Rust,M,SBD,Raw,32,24-34,24-39,MR-O,118.9,120,205,-217.5,222.5,,222.5,160,170,175,,175,280,305,322.5,,322.5,720,24,414.78,414.84,397.48,84.03,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Sabrina Downes,F,SBD,Raw,35,35-39,24-39,FR-O,62.5,63,160,167.5,172.5,,172.5,102.5,110,115,,115,190,200,-210,,200,487.5,1,526.87,526.73,465.16,107.21,Yes,Wales,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Jacob Downes,M,SBD,Raw,34.5,24-34,24-39,MR-O,65.4,66,190,202.5,210,,210,120,127.5,132.5,,132.5,210,225,232.5,,232.5,575,10,453.60,454.91,442.23,90.07,Yes,Wales,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Aaron Thompson #1,M,SBD,Raw,38.5,35-39,24-39,MR-O,178,120+,380,400,-407.5,,400,210,217.5,220,,220,325,340,-355,,340,960,3,493.75,517.57,484.26,95.93,Yes,England,NM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Sunil Chahal,M,SBD,Raw,32,24-34,24-39,MR-O,79.7,83,215,225,232.5,,232.5,165,172.5,-180,,172.5,220,-235,240,,240,645,14,445.75,441.39,425.36,91.14,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Marc Keys,M,SBD,Raw,,,,MR-O,119.3,120,225,-250,250,,250,165,185,190,,190,225,275,285,,285,725,22,417.19,417.39,399.94,84.49,Yes,Scotland,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Owen Hubbard,M,SBD,Raw,32,24-34,24-39,MR-O,82.8,83,260,272.5,280,,280,192.5,-202.5,202.5,,202.5,270,290,-307.5,,290,772.5,2,522.21,516.38,496.78,107.06,Yes,Wales,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Dominique Fortune,F,SBD,Raw,26.5,24-34,24-39,FR-O,179.2,84+,195,205,210,,210,110,115,-120,,115,230,247.5,-260,,247.5,572.5,3,441.26,439.77,357.45,94.49,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Sam Nayler,M,SBD,Raw,,,,MR-O,116.4,120,280,300,310,,310,190,200,-205,,200,300,315,-320,,315,825,9,478.73,477.85,457.60,97.20,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Beth Thomas #3,F,SBD,Raw,24.5,24-34,24-39,FR-O,78.1,84,155,160,165,,165,-90,92.5,97.5,,97.5,165,175,-180,,175,437.5,10,417.25,405.84,356.37,85.18,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Joey Awala,M,SBD,Raw,22,20-23,19-23,MR-O,92,93,275,292.5,-300,,292.5,180,-187.5,187.5,,187.5,305,325,-340,,325,805,4,514.87,508.32,486.73,105.87,Yes,England,NM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Holly Judge,F,SBD,Raw,35,35-39,24-39,FR-O,55.5,57,112.5,117.5,120,,120,65,70,-72.5,,70,137.5,145,150,,150,340,10,396.45,402.87,356.42,81.40,Yes,Scotland,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Catherine Phipps,F,SBD,Raw,34,24-34,24-39,FR-O,67.3,69,145,155,160,,160,82.5,87.5,90,,90,165,175,180,,180,430,9,444.69,439.80,387.99,90.36,Yes,England,SM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Hamza Bham,M,SBD,Raw,27,24-34,24-39,MR-O,92.2,93,250,265,277.5,,277.5,170,180,-185,,180,275,295,310,,310,767.5,9,490.37,484.13,463.52,100.83,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Helen Almond,F,SBD,Raw,,,,FR-O,68.8,69,152.5,157.5,162.5,,162.5,77.5,82.5,87.5,,87.5,185,195,205,,205,455,4,464.63,458.14,403.99,94.42,Yes,England,SE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Mairi Scobie,F,SBD,Raw,,,,FR-O,122.8,84+,140,147.5,152.5,,152.5,97.5,102.5,-105,,102.5,177.5,190,-200,,190,445,13,354.81,354.40,299.91,76.00,Yes,Scotland,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Jason Haskins,M,SBD,Raw,35.5,35-39,24-39,MR-O,158,120+,320,340,-350,,340,190,197.5,-200,,197.5,300,317.5,330,,330,867.5,4,460.12,476.45,447.79,90.32,Yes,England,SW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Terence Chiu,M,SBD,Raw,35,35-39,24-39,MR-O,90.3,93,217.5,-227.5,230,,230,145,152.5,-157.5,,152.5,250,265,275,,275,657.5,42,424.43,419.04,401.55,87.27,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Scott Mulheron,M,SBD,Raw,,,,MR-O,102.1,105,265,280,290,,290,142.5,150,157.5,,157.5,262.5,282.5,295,,295,742.5,18,452.99,448.24,428.02,92.88,Yes,Scotland,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Alex Fodor,M,SBD,Raw,,,,MR-O,73.7,74,215,227.5,235,,235,140,145,147.5,,147.5,260,-280,-282.5,,260,642.5,10,466.18,463.50,448.18,94.52,Yes,England,NM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Christopher Wong,M,SBD,Raw,,,,MR-O,73.3,74,235,242.5,-247.5,,242.5,140,145,147.5,,147.5,270,292.5,295,,295,685,5,498.79,496.09,479.81,101.06,Yes,Scotland,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Bobbie Butters,F,SBD,Raw,29.5,24-34,24-39,FR-O,55.9,57,175,182.5,188.5,,188.5,105,110,113,,113,180,190,-200,,190,491.5,2,570.38,579.11,512.27,117.01,Yes,England,NW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Michael Goodwin,M,SBD,Raw,,,,MR-O,103.9,105,230,250,-270,,250,150,162.5,172.5,,172.5,247.5,267.5,-287.5,,267.5,690,42,417.92,413.86,395.18,85.61,Yes,England,SE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Sam Dew,M,SBD,Raw,,,,MR-O,74,74,252.5,267.5,275,,275,165,172.5,-177.5,,172.5,245,265,-277.5,,265,712.5,1,515.60,512.51,495.49,104.60,Yes,England,SW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Tony Cliffe,M,SBD,Raw,39.5,35-39,40-49,MR-O,119.8,120,320,340,350,,350,230,240,247.5,,247.5,325,347.5,355,,355,952.5,1,547.33,547.83,524.95,110.80,Yes,England,NW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Imran Fulat,M,SBD,Raw,22,20-23,19-23,MR-O,104.02,105,-262.5,262.5,280,,280,162.5,170,177.5,,177.5,272.5,292.5,305,,305,762.5,14,461.61,457.16,436.52,94.55,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Steven Day,M,SBD,Raw,32,24-34,24-39,MR-O,74,74,262.5,280,-290,,280,140,152.5,-165,,152.5,75,,,,75,507.5,31,367.25,365.05,352.93,74.51,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Corey Williams,M,SBD,Raw,,,,MR-O,146.8,120+,-280,-280,-280,,,170,-180,180,,180,-275,-275,275,,275,,DQ,,,,,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Morgan Ellis,F,SBD,Raw,,,,FR-O,55.4,57,122.5,127.5,130,,130,65,70,72.5,,72.5,160,165,-170,,165,367.5,6,429.04,436.07,385.81,88.10,Yes,England,NW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Tzvetelina Tzonova,F,SBD,Raw,29,24-34,24-39,FR-O,50.7,52,115,125,-130,,125,55,60,62.5,,62.5,-125,132.5,140,,140,327.5,5,406.33,416.29,369.40,84.55,Yes,England,SM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Jacob Blackburn,M,SBD,Raw,26,24-34,24-39,MR-O,73.4,74,-215,215,230,,230,-135,135,140,,140,225,-240,-240,,225,595,20,432.87,430.48,416.34,87.72,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
