Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Victoria Cavalier-Hirth,F,SBD,Raw,33,24-34,24-39,FR-O,139.2,84+,200,210,215,,215,122.5,127.5,131,,131,177.5,187.5,195,,195,541,4,420.07,421.14,354.69,90.88,Yes,England,SM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Ben Cullen,M,SBD,Raw,20,20-23,19-23,MR-O,104.4,105,-267.5,-267.5,267.5,,267.5,170,180,185,,185,270,290,-300,,290,742.5,19,448.84,444.58,424.52,91.92,Yes,England,NW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Tom Parker,M,SBD,Raw,,,,MR-O,101.7,105,240,255,270,,270,155,-162.5,170,,170,245,260,272.5,,272.5,712.5,32,435.41,430.77,411.35,89.29,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Earlando Grant-Favourite,M,SBD,Raw,,,,MR-O,100.4,105,272.5,290,-300,,290,167.5,177.5,-182.5,,177.5,290,310,322.5,,322.5,790,12,485.42,480.02,458.45,99.61,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Duncan Law,M,SBD,Raw,23,20-23,24-39,MR-O,92.4,93,230,245,-255,,245,160,170,177.5,,177.5,245,260,-275,,260,682.5,36,435.60,430.07,411.72,89.57,Yes,England,SM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Gurnam Grewal,M,SBD,Raw,25.5,24-34,24-39,MR-O,91.8,93,215,230,240,,240,142.5,150,157.5,,157.5,255,-270,-270,,255,652.5,43,417.78,412.46,394.97,85.90,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Joseph Tang,M,SBD,Raw,24,24-34,24-39,MR-O,82.2,83,-222.5,-227.5,227.5,,227.5,150,157.5,165,,165,267.5,285,-292.5,,285,677.5,8,459.88,454.86,437.73,94.24,Yes,England,NW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Ishtyaq Nabi,M,SBD,Raw,24.5,24-34,24-39,MR-O,63.6,66,175,187.5,-195,,187.5,132.5,142.5,150,,150,245,260,270,,270,607.5,5,489.51,492.08,479.02,96.58,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Naomi James,F,SBD,Raw,24,24-34,24-39,FR-O,75.3,76,162.5,-175,-175,,162.5,85,90,92.5,,92.5,195,210,215,,215,470,6,456.81,445.69,391.99,93.07,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Melina Irawo,F,SBD,Raw,24,24-34,24-39,FR-O,83.4,84,182.5,195,202.5,,202.5,120,128,130.5,,130.5,202.5,217.5,222.5,,222.5,555.5,2,512.89,497.15,434.85,105.20,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
