Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Yui Okawa,F,SBD,Raw,26,24-34,24-39,Open,56.65,57,115,120,-125,,120,67.5,72.5,-75,,72.5,132.5,142.5,-150,,142.5,335,15,385.36,390.61,345.43,78.94,Yes,Japan,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Shimon Tsuruya,M,SBD,Raw,24,24-34,24-39,Open,90.2,93,245,255,-262.5,,255,155,-162.5,162.5,,162.5,280,295,-310,,295,712.5,22,460.19,454.34,435.40,94.62,Yes,Japan,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Tatsuya Kawashima,M,SBD,Raw,25.5,24-34,24-39,Open,73,74,-222.5,-222.5,222.5,,222.5,190,-195,195,,195,225,235,-245,,235,652.5,12,476.41,473.95,458.48,96.47,Yes,Japan,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Kasemsand Senumong,M,SBD,Raw,27,24-34,24-39,Open,65.5,66,220,235,,,235,140,145,-147.5,,145,260,270,-275,,270,650,7,512.18,513.59,499.24,101.73,Yes,Thailand,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Ahmadreza Babaahmadimilani,M,SBD,Raw,28,24-34,24-39,Open,65.45,66,235,242.5,-250,,242.5,135,-140,-140,,135,-255,255,272.5,,272.5,650,6,512.48,513.92,499.58,101.77,Yes,Iran,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Naoki Terunuma,M,SBD,Raw,24.5,24-34,24-39,Open,82.45,83,240,250,-255,,250,160,-170,170,,170,250,267.5,-280,,267.5,687.5,16,465.87,460.73,443.32,95.49,Yes,Japan,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Eric Smulders,M,SBD,Raw,32.5,24-34,24-39,Open,65.25,66,217.5,222.5,-225,,222.5,130,135,140,,140,250,-262.5,-270,,250,612.5,9,484.02,485.50,472.03,96.06,Yes,Thailand,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Yuki Shibuya,M,SBD,Raw,36,35-39,24-39,Open,65.5,66,-240,240,247.5,,247.5,-150,150,-155,,150,220,235,-240,,235,632.5,8,498.39,499.76,485.80,98.99,Yes,Japan,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Farhanna Farid,F,SBD,Raw,29.5,24-34,24-39,Open,51.35,52,122.5,130,132.5,,132.5,60,65,-67.5,,65,190,197,200.5,,200.5,398,7,489.40,500.99,444.31,101.60,Yes,Singapore,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Clinton Lee #1,M,SBD,Raw,28.5,24-34,24-39,Open,73.65,74,247.5,260,262.5,,262.5,165,170,-172.5,,170,285,297.5,-305,,297.5,730,4,529.90,526.87,509.48,107.44,Yes,Singapore,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
